channel,train_mean_real,train_mean_fake,effect_size_fake_minus_real,absolute_effect_size,overall_train_variance,rank_by_absolute_effect
123,0.4653595,0.078717835,-1.2464721077508165,1.2464721077508165,0.13104081,1
133,-0.43780667,0.42424545,1.245928230996766,1.245928230996766,0.64392835,2
895,-0.23309216,0.123498544,1.238005577549263,1.238005577549263,0.109212406,3
345,-0.12770282,0.27035818,1.1840445952697727,1.1840445952697727,0.14506505,4
1173,-0.16326775,0.17168371,1.1611658323722123,1.1611658323722123,0.10759969,5
766,0.35806686,0.037058372,-1.1442740186306726,1.1442740186306726,0.10300751,6
81,0.43540254,-1.4252732,-1.1263284487291711,1.1263284487291711,3.5132065,7
972,2.3550713,0.6009187,-1.109692315786767,1.109692315786767,3.0332687,8
865,-0.16186903,0.2140282,1.1074090572622033,1.1074090572622033,0.14665747,9
598,-0.846633,0.19538604,1.0929799146311987,1.0929799146311987,1.1176252,10
591,-0.26763308,0.5335077,1.0644122701724272,1.0644122701724272,0.71816516,11
764,0.3443469,0.031728853,-1.0203347870571207,1.0203347870571207,0.11626936,12
189,0.06423355,-0.7842345,-1.0165561007531578,1.0165561007531578,0.85862535,13
724,-0.51297456,0.3740553,1.0158316069285613,1.0158316069285613,0.89422625,14
558,-0.0759061,0.23082031,1.0142618725153383,1.0142618725153383,0.11112379,15
1011,-0.11512151,0.22501211,0.9912411637949929,0.9912411637949929,0.14219932,16
1228,-0.3633292,0.11506579,0.9864999811455972,0.9864999811455972,0.28318903,17
336,-1.1804723,-0.4983179,0.9840463931383604,0.9840463931383604,0.58703023,18
551,-0.27869603,0.1444842,0.9414687778340155,0.9414687778340155,0.23627599,19
261,0.6609191,0.12064699,-0.9406539906727657,0.9406539906727657,0.40411842,20
35,0.95032835,-0.19408222,-0.9347277425098399,0.9347277425098399,1.7884628,21
1070,-0.855591,-0.33200794,0.9210163838457746,0.9210163838457746,0.3842583,22
1140,0.6318356,-0.9962489,-0.9159087223185101,0.9159087223185101,3.6367471,23
444,-0.11483779,0.26736003,0.9136770849122147,0.9136770849122147,0.20409867,24
