step,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate
71,0.04525843346499698,0.12224914067849,0.999136,0.949901,0.1
72,0.04436634694423889,0.12156399423156622,0.998836,0.953314,0.1
73,0.04346105397847869,0.12072823085459472,0.999136,0.953314,0.1
74,0.0424711337354265,0.11955237293365432,0.999136,0.953314,0.1
75,0.04155655433516537,0.1194574740796393,0.998836,0.951917,0.1
76,0.04064231324054927,0.11902951534008362,0.998836,0.951917,0.1
77,0.03987337653562262,0.11911807326456261,0.998836,0.953933,0.1
78,0.03917007366160293,0.11800382935834693,0.998836,0.955949,0.1
79,0.0383199042482384,0.11652518672332254,0.999136,0.955949,0.1
80,0.03746479116417303,0.11566763970460713,0.999568,0.957346,0.1
81,0.03683603701966741,0.1147104809673506,0.999568,0.953933,0.1
82,0.03612383585336693,0.11416230247150061,0.999568,0.953933,0.1
83,0.03555109047213471,0.11353236841300668,0.999568,0.957346,0.1
84,0.03495382151195565,0.11312263742013967,0.999568,0.957346,0.1
85,0.03436250657582886,0.11273279415953386,0.999568,0.957346,0.1
86,0.03383959599531593,0.11196920015309744,0.999568,0.957346,0.1
87,0.03318009828237932,0.11118665363698377,0.999568,0.95533,0.1
88,0.03251792820984399,0.11076026390298584,0.999568,0.95533,0.1
89,0.03194809998251679,0.11092169192737189,0.999568,0.953314,0.1
90,0.03134589658410338,0.1101177768121326,1.0,0.953314,0.1
91,0.03083258475195534,0.10991696768204787,1.0,0.95533,0.1
92,0.03036202401620237,0.1095176981974327,1.0,0.956726,0.1
93,0.02988602104129072,0.1092266105617767,1.0,0.956726,0.1
94,0.02944433218293692,0.10900767644621023,1.0,0.953314,0.1
95,0.02897309898860357,0.10805727293065183,1.0,0.95533,0.1
96,0.02851147710893765,0.10762771272333722,1.0,0.953314,0.1
97,0.02801740886090298,0.10676274345204136,1.0,0.953314,0.1
98,0.02755752169995866,0.10681362311173655,1.0,0.958743,0.1
99,0.02711800524818637,0.10621568818145168,1.0,0.956726,0.1
100,0.02666215425355162,0.10542665099448112,1.0,0.95471,0.1
101,0.02619893391717604,0.10517403675015038,1.0,0.958743,0.1
102,0.02587752511671258,0.10435635026578143,1.0,0.958743,0.1
103,0.02550909713579268,0.10420219029304525,1.0,0.956726,0.1
104,0.02516125434801493,0.10390195853536774,1.0,0.958743,0.1
105,0.0248685461309722,0.10366361804554129,1.0,0.956726,0.1
106,0.02445360594651089,0.10339437166400632,1.0,0.960759,0.1
107,0.02408935919161412,0.10339450025875291,1.0,0.960759,0.1
108,0.02373990535702602,0.1032996844994396,1.0,0.960759,0.1
109,0.02342296581383098,0.10325894380878141,1.0,0.960759,0.1
110,0.02308826027479254,0.10345331015639321,1.0,0.960759,0.1
111,0.02276178543714485,0.10324606873523813,1.0,0.958743,0.1
112,0.0224728667421114,0.10339873837785052,1.0,0.958743,0.1
113,0.02213395708883429,0.10292916468998936,1.0,0.958743,0.1
114,0.02187693447974383,0.1024947550842998,1.0,0.958743,0.1
115,0.02161911655416757,0.10203334729314172,1.0,0.958743,0.1
116,0.02132900385873236,0.10204217612870935,1.0,0.958743,0.1
117,0.02102232569535016,0.10194994576701628,1.0,0.95533,0.1
118,0.02077690894041721,0.101914766929827,1.0,0.957346,0.1
119,0.02053031315191534,0.10182304581658563,1.0,0.957346,0.1
120,0.02029780428255991,0.10101979685027694,1.0,0.958743,0.1
121,0.0200699586062553,0.10072625591919109,1.0,0.958743,0.1
122,0.01983056740418068,0.1007903362818853,1.0,0.962155,0.1
123,0.01959012304258582,0.100365015441435,1.0,0.962775,0.1
124,0.01940531741873571,0.09987157906860723,1.0,0.960759,0.1
125,0.0191441369977619,0.09956171742330955,1.0,0.962775,0.1
126,0.01891014298746585,0.09979674638517542,1.0,0.960759,0.1
127,0.01870293115001158,0.09974118519540594,1.0,0.960759,0.1
128,0.01846858554190814,0.09968174475468211,1.0,0.960759,0.1
129,0.01826020860000909,0.09910303424294999,1.0,0.962775,0.1
130,0.01808401516447847,0.09851529568490144,1.0,0.960759,0.1
131,0.01791295281105543,0.0984452399594981,1.0,0.962775,0.1
132,0.01772934903316272,0.09845436420617279,1.0,0.962775,0.1
133,0.01752841477721478,0.09796593472169556,1.0,0.960759,0.1
134,0.01733977944036664,0.09791859318947929,1.0,0.960759,0.1
135,0.0171462005563003,0.09762373763222436,1.0,0.960759,0.1
136,0.01697625816928478,0.09728482144988214,1.0,0.960759,0.1
137,0.01680204362749375,0.09711556881930328,1.0,0.960759,0.1
138,0.01665125504552296,0.09690154497368567,1.0,0.960759,0.1
139,0.01647845771752475,0.09652566475626684,1.0,0.960759,0.1
140,0.01632189133610428,0.09617568161076345,1.0,0.962775,0.1
141,0.01617544197559045,0.09618589412049747,1.0,0.962775,0.1
142,0.01602427184153956,0.09632743444227845,1.0,0.962775,0.1
143,0.01586643295878476,0.09631578940673417,1.0,0.962775,0.1
144,0.0157100514366072,0.09604353468310263,1.0,0.962775,0.1
145,0.01553428292228373,0.09596952274104095,1.0,0.962775,0.1
146,0.01539580036800528,0.09612164540578348,1.0,0.964171,0.1
147,0.01529659619635492,0.09630078556038275,1.0,0.962775,0.1
148,0.01517544597507335,0.09565544045853859,1.0,0.962775,0.1
149,0.01503935782696132,0.09542369707422207,1.0,0.962775,0.1
150,0.01491262209470604,0.09513309669436729,1.0,0.962775,0.1
151,0.01476698549060368,0.09505093386964915,1.0,0.962775,0.1
152,0.01466013647069118,0.09504785852940625,1.0,0.961378,0.1
153,0.01450836674281421,0.0949983856261926,1.0,0.961378,0.1
154,0.01438815060461201,0.09519740508012216,1.0,0.962775,0.1
155,0.01428567623235625,0.09503227427069492,1.0,0.961378,0.1
