,svm_rbf,xgboost,cnn_spatial_head
svm_rbf,1.0,0.5460930098534538,0.2936429660181118
xgboost,0.5460930098534538,1.0,0.35188387606754223
cnn_spatial_head,0.2936429660181118,0.35188387606754223,1.0
