run_id,model,split,n_samples,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,brier_score,threshold,training_time_seconds,inference_time_seconds
seed42_20260917T122732Z,svm_rbf,train,2825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00101538647926889,0.5787920647599545,431.7805918000013,11.94894099999874
seed42_20260917T122732Z,svm_rbf,validation,606,0.9801980198019802,0.9776648945755992,0.9752747252747253,0.9916201117318436,0.9637096774193549,0.9833795013850416,0.9965984862137321,0.997496207301152,0.020844851509361908,0.5787920647599545,431.7805918000013,2.478140299999722
seed42_20260917T122732Z,svm_rbf,test,606,0.9686468646864687,0.9721744119334481,0.9941520467836257,0.9523809523809523,0.9919678714859438,0.9728183118741058,0.9970526363155705,0.9979315889496938,0.02151089253019319,0.5787920647599545,431.7805918000013,2.5160603000003903
seed42_20260917T122732Z,xgboost,train,2825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0002190757501852983,0.45098177,1240.0959932000003,0.031415299999935
seed42_20260917T122732Z,xgboost,validation,606,0.9702970297029703,0.9674265633447467,0.967032967032967,0.9832402234636871,0.9516129032258065,0.9750692520775623,0.9949653090646964,0.996345451012749,0.02515562050679316,0.45098177,1240.0959932000003,0.046486499999446
seed42_20260917T122732Z,xgboost,test,606,0.9603960396039604,0.9597043636731801,0.9690140845070423,0.9635854341736695,0.9558232931726908,0.9662921348314607,0.9934190543687355,0.9953116125799465,0.030058094050518777,0.45098177,1240.0959932000003,0.005866600000445
seed42_20260917T122732Z,cnn_spatial_head,train,2825,0.9996460176991151,0.9995678478824546,0.9994008388256441,1.0,0.9991356957649092,0.9997003296373989,0.9999963728239534,0.999997481003161,0.0008090776746648503,0.6299993429397746,277.7292255,5.852549000000181
seed42_20260917T122732Z,cnn_spatial_head,validation,606,0.9735973597359736,0.9708393404216976,0.9697802197802198,0.9860335195530726,0.9556451612903226,0.9778393351800554,0.9932814471075869,0.9941116758258621,0.02506790742537672,0.6299993429397746,277.7292255,1.1630476000000272
seed42_20260917T122732Z,cnn_spatial_head,test,606,0.9686468646864687,0.969137052411326,0.9801136363636364,0.9663865546218487,0.9718875502008032,0.9732016925246827,0.9970301373561473,0.9978311502702499,0.020088458720640835,0.6299993429397746,277.7292255,3.209464799999978
seed42_20260917T122732Z,ensemble_uniform,train,2825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00042790625569879393,0.6659485172299985,2087.2993176000004,17.832905299998856
seed42_20260917T122732Z,ensemble_uniform,validation,606,0.9752475247524752,0.9747139124166517,0.9803921568627451,0.9776536312849162,0.9717741935483871,0.9790209790209791,0.9978036583168138,0.9984613435058038,0.018789255840444736,0.6659485172299985,2087.2993176000004,3.6876743999991954
seed42_20260917T122732Z,ensemble_uniform,test,606,0.9636963696369637,0.9673652593567548,0.9912023460410557,0.9467787114845938,0.9879518072289156,0.9684813753581661,0.9974013701866289,0.998075680758268,0.018733074999860405,0.6659485172299985,2087.2993176000004,5.731391700000813
seed42_20260917T122732Z,ensemble_weighted,train,2825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00046486831860139137,0.6136216890279877,2087.2993176000004,17.832905299998856
seed42_20260917T122732Z,ensemble_weighted,validation,606,0.9801980198019802,0.9795233375382952,0.9832402234636871,0.9832402234636871,0.9758064516129032,0.9832402234636871,0.9978036583168137,0.9984506013750093,0.01886227674381384,0.6136216890279877,2087.2993176000004,3.6876743999991954
seed42_20260917T122732Z,ensemble_weighted,test,606,0.966996699669967,0.970166379804934,0.9912536443148688,0.9523809523809523,0.9879518072289156,0.9714285714285714,0.9973788712272057,0.9980793238245559,0.019598803474121716,0.6136216890279877,2087.2993176000004,5.731391700000813
seed42_20260917T122732Z,convnext,train,2825,0.984070796460177,0.9847896963328213,0.992116434202547,0.9808153477218226,0.9887640449438202,0.9864335242689177,0.9986973256312841,0.9991031061275608,0.012441730653489714,0.6075462700457358,2248.3390555819988,134.43892472399966
seed42_20260917T122732Z,convnext,validation,606,0.9620462046204621,0.9604433231212831,0.9665738161559888,0.9692737430167597,0.9516129032258065,0.9679218967921897,0.9884100738871868,0.9908396983607388,0.03192397386031707,0.6075462700457358,2248.3390555819988,35.33425249500033
seed42_20260917T122732Z,convnext,test,606,0.9537953795379538,0.9565320103945192,0.9795918367346939,0.9411764705882353,0.9718875502008032,0.96,0.9932840606121968,0.9947024803336308,0.029819211898850735,0.6075462700457358,2248.3390555819988,31.099153245000707
