,svm_rbf,xgboost,cnn_spatial_head
svm_rbf,1.0,0.9705333673159857,0.9700770772147649
xgboost,0.9705333673159857,1.0,0.9533914673869299
cnn_spatial_head,0.9700770772147649,0.9533914673869299,1.0
