run_id,model,split,n_samples,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,brier_score,threshold,training_time_seconds,inference_time_seconds
seed42_20260916T195419Z,convnext,train,2825,0.047163285315036774,0.984070796460177,0.9847896963328213,0.992116434202547,0.9808153477218226,0.9887640449438202,0.9864335242689177,0.9986973256312841,0.9991031061275608,0.012441730658848127,0.6075462700457358,9365.071471349002,126.40073346800091
seed42_20260916T195419Z,convnext,validation,606,0.12841938436031342,0.9620462046204621,0.9604433231212831,0.9665738161559888,0.9692737430167597,0.9516129032258065,0.9679218967921897,0.9884100738871868,0.9908396983607388,0.031923973860317076,0.6075462700457358,9365.071471349002,24.981057310000324
seed42_20260916T195419Z,convnext,test,606,0.10561208426952362,0.9537953795379538,0.9565320103945192,0.9795918367346939,0.9411764705882353,0.9718875502008032,0.96,0.9932840606121968,0.9947024803336308,0.029819211898850735,0.6075462700457358,9365.071471349002,26.03587804400013
