step,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate,val_balanced_accuracy
1,0.12523861229419708,0.14440889656543732,0.951858407079646,0.9405940594059405,6.067415730337078e-05,0.9367115696521895
2,0.047163281589746475,0.12841938436031342,0.984778761061947,0.9620462046204621,0.00012067415730337077,0.9585848801585872
3,0.04848086088895798,0.1447797417640686,0.983716814159292,0.9554455445544554,0.00018067415730337077,0.9548567309425122
4,0.04724800959229469,0.2003401517868042,0.9865486725663717,0.9438943894389439,0.00024067415730337076,0.9401243467291404
5,0.031690847128629684,0.1659771054983139,0.9876106194690265,0.9537953795379538,0.0003,0.9466457920346008
6,0.03411925584077835,0.21694603562355042,0.9869026548672566,0.9488448844884488,0.0002999179886011389,0.9424558479005226
7,0.03528889641165733,0.24570323526859283,0.9890265486725663,0.9405940594059405,0.00029967204408281613,0.9391894936024509
8,0.006472415290772915,0.2660372257232666,0.9982300884955753,0.9471947194719472,0.0002992624353817517,0.937342313930438
9,0.006574214901775122,0.1788129210472107,0.9982300884955753,0.9554455445544554,0.00029868961039904624,0.9536177689673815
10,0.0014377465704455972,0.25585702061653137,0.9996460176991151,0.9537953795379538,0.00029795419551040833,0.9485042349972967
11,0.004747461527585983,0.3194141089916229,0.9982300884955753,0.9537953795379538,0.0002970569948812214,0.9460263110470355
12,0.00407872349023819,0.2911480665206909,0.9992920353982301,0.9554455445544554,0.0002959989895872009,0.9480424400792935
13,0.00037642783718183637,0.27734628319740295,1.0,0.9537953795379538,0.0002947813365416023,0.9491237159848621
14,0.009745101444423199,0.3406849503517151,0.9975221238938053,0.9504950495049505,0.0002934053672301536,0.945091457920346
15,0.0019488652469590306,0.301143079996109,0.9992920353982301,0.9587458745874587,0.00029187258625509513,0.9551721030816362
16,0.005599017720669508,0.3367941975593567,0.9989380530973452,0.9570957095709571,0.0002901846696899191,0.950678050099117
17,0.007225068286061287,0.2832806706428528,0.9978761061946902,0.9504950495049505,0.0002883434632466077,0.9494278248333033
