step,train_loss,val_loss,train_accuracy,val_accuracy,train_balanced_accuracy,val_balanced_accuracy,learning_rate
1,0.23206006828662568,0.12884521484375,0.9026548672566371,0.9521452145214522,0.8985015099415714,0.9502049918904307,0.001
2,0.06729420727069399,0.10610955953598022,0.9780530973451328,0.9587458745874587,0.9771783264831523,0.9570305460443324,0.001
3,0.03070938213192652,0.13089293241500854,0.991858407079646,0.9537953795379538,0.991252028627746,0.9503626779599927,0.001
4,0.01888032942268569,0.11013572663068771,0.9957522123893805,0.9653465346534653,0.9958733099950463,0.9595197332852766,0.001
5,0.007693934470448083,0.09947115927934647,0.9996460176991151,0.966996699669967,0.9995678478824546,0.964013786267796,0.001
6,0.0075181890515182,0.12654326856136322,0.9978761061946902,0.9636963696369637,0.9978042630718242,0.9612204901784105,0.001
7,0.011431208649831536,0.12164130061864853,0.9964601769911504,0.9603960396039604,0.9962080465273417,0.9590466750765905,0.001
8,0.008688436425538256,0.12869709730148315,0.9971681415929203,0.9686468646864687,0.9970723507624324,0.9660299153000541,0.001
9,0.009034810026858282,0.16898366808891296,0.9968141592920354,0.9570957095709571,0.9967725905705859,0.9531559740493782,0.001
10,0.008493989603758781,0.1441371887922287,0.9975221238938053,0.9735973597359736,0.9975045028799778,0.9726977833843936,0.0005
11,0.005130908168559746,0.16306479275226593,0.9985840707964602,0.9653465346534653,0.9988009592326139,0.961997657235538,0.0005
12,0.0010971836503842368,0.16323994100093842,1.0,0.966996699669967,1.0,0.964013786267796,0.0005
13,0.0013453343277591058,0.15796780586242676,0.9996460176991151,0.9686468646864687,0.9995678478824546,0.9654104343124887,0.0005
14,0.0008648661355100638,0.15998059511184692,1.0,0.9686468646864687,1.0,0.9660299153000541,0.0005
15,0.0009008099231662938,0.1585928052663803,1.0,0.9702970297029703,1.0,0.9674265633447467,0.00025
16,0.0007675231571630699,0.1604987531900406,1.0,0.9686468646864687,1.0,0.9647909533249235,0.00025
17,0.0008039703729265757,0.16146351397037506,1.0,0.9686468646864687,1.0,0.9647909533249235,0.00025
18,0.0006695492072566619,0.16240936517715454,1.0,0.9686468646864687,1.0,0.9647909533249235,0.00025
19,0.0006499357234616557,0.1628819853067398,1.0,0.9686468646864687,1.0,0.9647909533249235,0.00025
20,0.0006298914442325126,0.16402463614940643,1.0,0.9686468646864687,1.0,0.9647909533249235,0.000125
21,0.0006067099283548253,0.1644311249256134,1.0,0.9686468646864687,1.0,0.9647909533249235,0.000125
22,0.000604356013040627,0.16435536742210388,1.0,0.9686468646864687,1.0,0.9647909533249235,0.000125
