step,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate,val_balanced_accuracy
1,0.12523861229419708,0.14440889656543732,0.951858407079646,0.9405940594059405,6.067415730337078e-05,0.9367115696521895
2,0.047163281589746475,0.12841938436031342,0.984778761061947,0.9620462046204621,0.00012067415730337077,0.9585848801585872
3,0.04848086088895798,0.1447797417640686,0.983716814159292,0.9554455445544554,0.00018067415730337077,0.9548567309425122
4,0.04724800959229469,0.2003401517868042,0.9865486725663717,0.9438943894389439,0.00024067415730337076,0.9401243467291404
